 ,Label,Area,Mean,XM,YM,Perim.,Circ.,IntDen,RawIntDen,AR,Round,Solidity
1300,Plate_10_p1.tif,529,255,16856.995,1541.778,85.497,0.909,134895,134895,1.188,0.842,0.943
1301,Plate_10_p1.tif,28,255,17398.000,1532.286,19.314,0.943,7140,7140,1.257,0.795,0.889
1302,Plate_10_p1.tif,11,255,39562.500,1530.773,13.899,0.715,2805,2805,1.241,0.806,0.710
1303,Plate_10_p1.tif,78,255,18941.821,1534.962,36.042,0.755,19890,19890,1.901,0.526,0.848
1304,Plate_10_p1.tif,17,255,17900.029,1533.794,15.556,0.883,4335,4335,1.526,0.655,0.791
1305,Plate_10_p1.tif,34,255,21986.882,1535.912,20.971,0.972,8670,8670,1.004,0.996,0.872
1306,Plate_10_p1.tif,18,255,26098.889,1535.833,32.385,0.216,4590,4590,8.050,0.124,0.537
1307,Plate_10_p1.tif,23,255,1462.500,1537.065,28.385,0.359,5865,5865,1.328,0.753,0.582
1308,Plate_10_p1.tif,12,255,25417.917,1538.583,12.485,0.967,3060,3060,1.088,0.919,0.857
1309,Plate_10_p1.tif,38,255,34046.868,1539.316,24.728,0.781,9690,9690,1.730,0.578,0.905
1310,Plate_10_p1.tif,25,255,37936.380,1539.620,19.899,0.793,6375,6375,1.243,0.805,0.833
1311,Plate_10_p1.tif,47,255,29345.287,1540.840,32.385,0.563,11985,11985,3.064,0.326,0.817
1312,Plate_10_p1.tif,52,255,24750.769,1543.865,28.627,0.797,13260,13260,1.161,0.862,0.832
1313,Plate_10_p1.tif,13,255,40281.808,1543.423,18.728,0.466,3315,3315,2.927,0.342,0.591
1314,Plate_10_p1.tif,51,255,35785.539,1545.284,27.213,0.865,13005,13005,1.268,0.789,0.829
1315,Plate_10_p1.tif,15,255,42412.300,1544.900,14.728,0.869,3825,3825,1.613,0.620,0.789
1316,Plate_10_p1.tif,30,255,6067.800,1546.967,21.556,0.811,7650,7650,1.501,0.666,0.811
1317,Plate_10_p1.tif,26,255,8127.000,1545.731,17.556,1.000,6630,6630,1.123,0.890,0.852
1318,Plate_10_p1.tif,44,255,26101.023,1550.295,62.527,0.141,11220,11220,11.492,0.087,0.500
1319,Plate_10_p1.tif,97,255,505.098,1554.541,41.456,0.709,24735,24735,2.051,0.487,0.870
1320,Plate_10_p1.tif,241,255,36067.272,1585.459,162.811,0.114,61455,61455,13.951,0.072,0.582
1321,Plate_10_p1.tif,27,255,43654.130,1552.463,35.698,0.266,6885,6885,1.300,0.769,0.568
1322,Plate_10_p1.tif,13,255,28071.654,1551.654,13.314,0.922,3315,3315,1.365,0.733,0.812
1323,Plate_10_p1.tif,39,255,19925.038,1556.090,27.213,0.662,9945,9945,2.821,0.354,0.772
1324,Plate_10_p1.tif,19,255,34771.342,1554.974,15.899,0.944,4845,4845,1.499,0.667,0.905
1325,Plate_10_p1.tif,42,255,39060.952,1562.190,47.598,0.233,10710,10710,6.863,0.146,0.579
1326,Plate_10_p1.tif,15,255,31665.900,1555.700,13.899,0.976,3825,3825,2.021,0.495,0.909
1327,Plate_10_p1.tif,20,255,29838.700,1557.500,17.314,0.838,5100,5100,1.427,0.701,0.816
1328,Plate_10_p1.tif,21,255,18422.310,1559.643,18.728,0.752,5355,5355,1.625,0.615,0.778
1329,Plate_10_p1.tif,11,255,34570.682,1557.955,11.314,1.000,2805,2805,1.450,0.689,0.846
1330,Plate_10_p1.tif,17,255,206.500,1562.735,14.728,0.985,4335,4335,1.177,0.850,0.829
1331,Plate_10_p1.tif,11,255,26053.864,1562.227,13.314,0.780,2805,2805,2.498,0.400,0.815
1332,Plate_10_p1.tif,11,255,36064.955,1564.227,13.657,0.741,2805,2805,2.858,0.350,0.957
1333,Plate_10_p1.tif,45,255,40130.344,1565.900,30.042,0.627,11475,11475,1.242,0.805,0.738
1334,Plate_10_p1.tif,11,255,20204.955,1563.773,13.899,0.715,2805,2805,2.159,0.463,0.759
1335,Plate_10_p1.tif,17,255,26072.029,1566.618,27.213,0.288,4335,4335,4.814,0.208,0.500
1336,Plate_10_p1.tif,12,255,11791.333,1566.583,19.314,0.404,3060,3060,4.271,0.234,0.686
1337,Plate_10_p1.tif,58,255,26165.690,1569.379,28.728,0.883,14790,14790,1.116,0.896,0.906
1338,Plate_10_p1.tif,13,255,27663.269,1568.731,12.485,1.000,3315,3315,1.370,0.730,0.929
1339,Plate_10_p1.tif,21,255,15822.738,1571.881,16.728,0.943,5355,5355,1.311,0.763,0.840
1340,Plate_10_p1.tif,11,255,16547.227,1579.318,11.899,0.976,2805,2805,1.147,0.871,0.815
1341,Plate_10_p1.tif,39,255,26027.628,1581.192,55.355,0.160,9945,9945,3.125,0.320,0.315
1342,Plate_10_p1.tif,14,255,26054.929,1580.643,27.213,0.238,3570,3570,7.173,0.139,0.500
1343,Plate_10_p1.tif,47,255,38771.755,1582.649,27.556,0.778,11985,11985,1.195,0.837,0.817
1344,Plate_10_p1.tif,18,255,27260.944,1581.111,16.728,0.808,4590,4590,1.680,0.595,0.818
1345,Plate_10_p1.tif,35,255,20958.529,1583.700,25.799,0.661,8925,8925,1.224,0.817,0.707
1346,Plate_10_p1.tif,18,255,33212.944,1582.667,15.314,0.965,4590,4590,1.079,0.926,0.857
1347,Plate_10_p1.tif,15,255,14229.433,1583.700,16.142,0.723,3825,3825,1.674,0.597,0.714
1348,Plate_10_p1.tif,19,255,15602.132,1583.342,15.314,1.000,4845,4845,1.554,0.644,0.905
1349,Plate_10_p1.tif,17,255,18844.382,1583.618,15.314,0.911,4335,4335,1.830,0.546,0.850
1350,Plate_10_p1.tif,19,255,4308.447,1585.289,18.728,0.681,4845,4845,2.046,0.489,0.776
1351,Plate_10_p1.tif,26,255,23846.000,1592.385,17.899,1.000,6630,6630,1.215,0.823,0.929
1352,Plate_10_p1.tif,10,255,5303.800,1593.000,11.314,0.982,2550,2550,1.643,0.608,0.800
1353,Plate_10_p1.tif,25,255,18563.860,1593.340,19.314,0.842,6375,6375,1.197,0.835,0.847
1354,Plate_10_p1.tif,14,255,3447.500,1594.214,12.728,1.000,3570,3570,1.388,0.720,0.824
1355,Plate_10_p1.tif,28,255,14403.250,1596.464,20.728,0.819,7140,7140,1.433,0.698,0.836
1356,Plate_10_p1.tif,10,255,26026.700,1594.900,13.314,0.709,2550,2550,2.714,0.368,0.714
1357,Plate_10_p1.tif,11,255,29589.227,1594.682,11.899,0.976,2805,2805,1.619,0.618,0.846
1358,Plate_10_p1.tif,10,255,25997.900,1597.000,19.799,0.321,2550,2550,5.565,0.180,0.513
1359,Plate_10_p1.tif,14,255,18067.071,1597.714,13.314,0.993,3570,3570,1.164,0.859,0.824
1360,Plate_10_p1.tif,11,255,31695.227,1596.591,13.314,0.780,2805,2805,2.100,0.476,0.786
1361,Plate_10_p1.tif,13,255,7614.500,1597.500,14.728,0.753,3315,3315,1.803,0.555,0.722
1362,Plate_10_p1.tif,10,255,41191.800,1597.900,11.899,0.887,2550,2550,1.976,0.506,0.800
1363,Plate_10_p1.tif,18,255,132.167,1599.222,14.728,1.000,4590,4590,1.121,0.892,0.857
1364,Plate_10_p1.tif,14,255,28367.357,1600.857,13.899,0.911,3570,3570,1.950,0.513,0.848
1365,Plate_10_p1.tif,61,255,39414.992,1602.943,34.385,0.648,15555,15555,1.899,0.527,0.824
1366,Plate_10_p1.tif,12,255,9526.083,1601.917,13.314,0.851,3060,3060,1.683,0.594,0.774
1367,Plate_10_p1.tif,42,255,21511.548,1603.024,24.728,0.863,10710,10710,1.266,0.790,0.933
1368,Plate_10_p1.tif,11,255,6656.773,1603.227,14.142,0.691,2805,2805,2.780,0.360,0.733
