 ,Area,Mean,Perim.,Circ.,Feret,IntDen,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
11501,277.131,255,68.164,0.750,24.584,70668.407,23970,28126,26561,167.905,17.170,1.344,0.744,0.836
11502,191.633,255,58.034,0.715,21.514,48866.452,16575,12528,26561,151.390,15.453,1.148,0.871,0.774
11503,53.068,255,30.145,0.734,12.141,13532.248,4590,15426,26567,45.000,8.447,1.350,0.741,0.750
11504,215.219,255,59.456,0.765,21.514,54880.784,18615,27478,26579,28.610,17.375,1.192,0.839,0.802
11505,67.809,255,32.156,0.824,12.382,17291.206,5865,15553,26578,56.310,9.215,1.311,0.763,0.836
11506,41.275,255,27.717,0.675,12.382,10525.082,3570,2640,26579,33.690,6.516,2.053,0.487,0.778
11507,123.824,255,52.172,0.572,19.577,31575.246,10710,8183,26575,127.875,12.019,1.592,0.628,0.848
11508,76.653,255,31.151,0.993,12.141,19546.581,6630,11424,26580,98.130,8.585,1.192,0.839,0.867
11509,100.239,255,39.025,0.827,14.770,25560.913,8670,22269,26580,125.538,10.302,1.189,0.841,0.840
11510,359.681,255,89.185,0.568,28.161,91718.571,31110,4281,26595,37.569,22.898,1.143,0.875,0.751
11511,170.996,255,52.172,0.789,18.573,43603.911,14790,17284,26587,146.310,15.358,1.149,0.870,0.817
11512,50.119,255,27.717,0.820,11.518,12780.457,4335,25572,26588,153.435,8.145,1.389,0.720,0.739
11513,70.757,255,36.596,0.664,16.198,18042.998,6120,4617,26597,57.995,7.783,2.485,0.402,0.774
11514,88.446,255,39.441,0.714,13.843,22553.747,7650,1202,26591,150.255,11.244,1.075,0.930,0.759
11515,218.167,255,61.885,0.716,22.908,55632.576,18870,9009,26597,167.005,16.837,1.409,0.710,0.804
11516,203.426,255,59.873,0.713,20.889,51873.618,17595,24032,26596,170.538,16.893,1.134,0.882,0.807
11517,76.653,255,36.007,0.743,15.358,19546.581,6630,26511,26601,63.435,8.585,1.757,0.569,0.825
11518,97.291,255,39.441,0.786,14.670,24809.122,8415,3030,26602,69.444,10.750,1.421,0.704,0.795
11519,53.068,255,28.306,0.832,10.994,13532.248,4590,36341,26594,128.660,8.585,1.302,0.768,0.837
11520,114.980,255,41.869,0.824,16.289,29319.871,9945,17668,26607,71.565,12.019,1.300,0.769,0.848
11521,300.717,255,70.592,0.758,26.266,76682.739,26010,20691,26607,11.310,20.477,1.159,0.863,0.810
11522,61.912,255,32.156,0.752,12.382,15787.623,5355,25008,26605,33.690,9.982,1.114,0.898,0.750
11523,44.223,255,23.449,1.000,10.012,11276.873,3825,2042,26604,120.964,5.151,1.667,0.600,1.000
11524,100.239,255,39.858,0.793,13.843,25560.913,8670,15648,26615,97.125,12.141,1.036,0.966,0.773
11525,50.119,255,28.722,0.763,12.382,12780.457,4335,2803,26616,146.310,7.620,1.850,0.541,0.739
11526,50.119,255,26.294,0.911,10.012,12780.457,4335,14067,26625,59.036,8.499,1.092,0.916,0.850
11527,256.494,255,64.313,0.779,23.100,65405.866,22185,32070,26621,131.987,18.212,1.195,0.837,0.829
11528,97.291,255,41.453,0.711,13.843,24809.122,8415,17201,26624,119.745,11.945,1.095,0.914,0.835
11529,44.223,255,24.872,0.898,11.518,11276.873,3825,27814,26636,63.435,5.151,1.866,0.536,0.909
11530,91.394,255,40.864,0.688,16.289,23305.538,7905,29302,26636,18.435,10.302,1.304,0.767,0.738
11531,41.275,255,26.294,0.750,10.859,10525.082,3570,28389,26642,71.565,6.663,1.735,0.576,0.778
11532,147.410,255,51.582,0.696,17.678,37589.578,12750,23455,26646,60.945,15.203,1.030,0.971,0.775
11533,44.223,255,28.722,0.674,12.500,11276.873,3825,11082,26645,15.945,5.151,2.273,0.440,0.769
11534,123.824,255,41.869,0.888,14.770,31575.246,10710,7506,26652,35.538,13.355,1.125,0.889,0.840
11535,179.840,255,52.588,0.817,17.926,45859.285,15555,32369,26649,106.699,16.125,1.112,0.900,0.813
11536,73.705,255,32.573,0.873,12.500,18794.789,6375,32479,26656,74.055,10.302,1.153,0.867,0.781
11537,61.912,255,32.156,0.752,13.077,15787.623,5355,20277,26653,23.199,6.868,1.907,0.524,0.840
11538,227.012,255,69.169,0.596,20.747,57887.950,19635,8837,26653,155.556,18.887,1.121,0.892,0.774
11539,283.027,255,66.152,0.813,22.908,72171.990,24480,28632,26651,102.995,19.426,1.019,0.981,0.861
11540,41.275,255,32.156,0.502,11.518,10525.082,3570,26920,26654,116.565,7.555,1.938,0.516,0.651
11541,56.016,255,32.156,0.681,13.410,14284.040,4845,2894,26662,50.194,8.447,1.420,0.704,0.776
11542,61.912,255,32.156,0.752,12.500,15787.623,5355,9022,26666,74.055,8.585,1.344,0.744,0.764
11543,85.498,255,33.579,0.953,13.077,21801.955,7395,7989,26666,23.199,10.302,1.163,0.860,0.866
11544,100.239,255,46.726,0.577,16.289,25560.913,8670,4769,26669,161.565,12.141,1.037,0.964,0.667
11545,265.338,255,67.158,0.739,22.321,67661.241,22950,25878,26670,112.620,18.887,1.152,0.868,0.826
11546,76.653,255,30.734,1.000,12.141,19546.581,6630,36915,26672,135.000,8.585,1.080,0.926,0.929
11547,300.717,255,71.598,0.737,23.100,76682.739,26010,22471,26678,131.987,20.640,1.178,0.849,0.823
11548,341.991,255,77.460,0.716,27.149,87207.821,29580,7262,26679,124.695,21.430,1.268,0.788,0.847
11549,91.394,255,34.585,0.960,13.077,23305.538,7905,27381,26685,113.199,10.302,1.132,0.883,0.861
11550,82.550,255,34.168,0.889,13.077,21050.164,7140,27120,26687,156.801,8.585,1.251,0.800,0.903
11551,285.976,255,73.609,0.663,25.755,72923.782,24735,35934,26701,36.870,18.887,1.068,0.936,0.815
11552,165.099,255,56.022,0.661,18.573,42100.328,14280,23520,26695,123.690,15.408,1.079,0.926,0.772
11553,53.068,255,29.728,0.755,12.382,13532.248,4590,14347,26697,123.690,7.080,1.761,0.568,0.766
11554,221.115,255,58.451,0.813,20.024,56384.367,19125,15587,26698,120.964,17.170,1.113,0.898,0.852
11555,224.063,255,65.735,0.652,22.387,57136.159,19380,25105,26700,147.529,18.323,1.037,0.964,0.804
11556,159.203,255,49.743,0.809,17.678,40596.744,13770,10220,26703,150.945,12.019,1.258,0.795,0.923
11557,41.275,255,22.860,0.993,9.247,10525.082,3570,8269,26709,68.199,6.868,1.240,0.807,0.824
11558,141.514,255,53.594,0.619,22.584,36085.995,12240,13368,26710,8.746,12.019,2.007,0.498,0.774
11559,53.068,255,27.717,0.868,10.859,13532.248,4590,18282,26707,161.565,8.585,1.216,0.822,0.766
11560,103.187,255,37.013,0.947,14.670,26312.705,8925,29883,26710,159.444,10.302,1.315,0.760,0.886
11561,70.757,255,31.151,0.916,11.518,18042.998,6120,31107,26711,116.565,9.774,1.145,0.873,0.828
11562,109.083,255,38.435,0.928,14.770,27816.288,9435,4606,26718,35.538,12.019,1.155,0.866,0.871
11563,109.083,255,47.315,0.612,17.926,27816.288,9435,6171,26715,163.301,10.302,1.580,0.633,0.779
