============================== SRIM-2013.00 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= Xe(34.7 GeV) ==> Ilford G_5+Glass Soda_Li( 8.24 mm) =======
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  104 54 .1178254E+11   8240000E+01  .1027E+06  .1770E+06   .9999973  .0023274  .0001443
T  105 54 .1183924E+11   8240000E+01 -.6829E+05 -.1883E+06   .9999982 -.0010151 -.0015745
T  106 54 .1183243E+11   8240000E+01 -.4144E+05 -.1346E+06   .9999377 -.0019813 -.0109894
T  107 54 .1180775E+11   8240000E+01  .1395E+06  .5902E+05   .9999949 -.0002068  .0031787
T  108 54 .1172273E+11   8240000E+01 -.2115E+05  .4919E+05   .9999903  .0043877 -.0002514
T  109 54 .1177173E+11   8240000E+01  .1369E+06  .3268E+06   .9999728  .0039424  .0062318
T  110 54 .1179172E+11   8240000E+01 -.1841E+06 -.1074E+05   .9999639 -.0079248  .0030590
T  111 54 .1177022E+11   8240000E+01 -.3869E+06 -.4368E+04   .9999558 -.0091153  .0022833
T  112 54 .1180366E+11   8240000E+01 -.2480E+05  .4373E+05   .9999954 -.0026045 -.0015693
T  113 54 .1181105E+11   8240000E+01 -.1253E+06  .2190E+06   .9999722 -.0069558  .0026854
T  114 54 .1177734E+11   8240000E+01  .1570E+05  .2586E+06   .9999832  .0043442  .0038330
T  115 54 .1179024E+11   8240000E+01 -.1693E+05  .1513E+06   .9999846 -.0044981  .0032407
T  116 54 .1170251E+11   8240000E+01  .1577E+06  .1211E+06   .9999734  .0047510  .0055269
T  117 54 .1177401E+11   8240000E+01  .5784E+05 -.3491E+05   .9999958 -.0026711  .0011637
T  118 54 .1180859E+11   8240000E+01 -.1419E+06 -.1005E+06   .9999996  .0002337 -.0008562
T  119 54 .1171726E+11   8240000E+01  .1040E+06  .4270E+05   .9999974  .0016731 -.0015785
T  120 54 .1180664E+11   8240000E+01 -.4079E+05 -.1694E+06   .9999675 -.0012035 -.0079767
T  121 54 .1171882E+11   8240000E+01 -.1312E+06  .1996E+06   .9999475 -.0090207  .0048597
T  122 54 .1184011E+11   8240000E+01 -.1005E+06  .1908E+05   .9999811 -.0060229 -.0012390
T  123 54 .1177302E+11   8240000E+01  .2345E+06 -.3238E+06   .9999754  .0020591 -.0067044
T  124 54 .1178387E+11   8240000E+01 -.1740E+05  .4940E+05   .9999972 -.0023140  .0003939
T  125 54 .1183015E+11   8240000E+01  .5259E+05 -.2312E+06   .9999937  .0022942 -.0026980
T  126 54 .1181611E+11   8240000E+01  .1160E+06 -.3275E+05   .9999714  .0075499  .0004873
T  127 54 .1179379E+11   8240000E+01 -.1827E+06 -.1493E+05   .9999974 -.0020961  .0009421
T  128 54 .1181600E+11   8240000E+01 -.1226E+06 -.1390E+06   .9999786 -.0038130 -.0053099
T  129 54 .1172322E+11   8240000E+01  .1804E+06  .6131E+06   .9999725  .0036592  .0064529
T  130 54 .1173295E+11   8240000E+01 -.2924E+06  .2327E+06   .9999272 -.0070859  .0097695
T  131 54 .1178495E+11   8240000E+01  .1441E+06  .2390E+06   .9999968  .0017301 -.0018194
T  132 54 .1177391E+11   8240000E+01  .6929E+04  .1250E+06   .9999842  .0008475  .0055659
T  133 54 .1182127E+11   8240000E+01  .5089E+05  .3721E+05   .9999910  .0042115  .0004530
T  134 54 .1173779E+11   8240000E+01 -.3405E+06  .5999E+05   .9999669 -.0081129  .0005334
T  135 54 .1174746E+11   8240000E+01 -.1506E+05  .7759E+05   .9999724 -.0018887  .0071860
T  136 54 .1185328E+11   8240000E+01  .5677E+05 -.7031E+05   .9999792  .0025074  .0059450
T  137 54 .1175726E+11   8240000E+01 -.3219E+04 -.1362E+05   .9999872 -.0016315 -.0047852
T  138 54 .1176292E+11   8240000E+01  .9855E+05  .1739E+06   .9999789 -.0028442  .0058436
T  139 54 .1179412E+11   8240000E+01 -.1695E+06  .2813E+06   .9999868 -.0039132  .0033426
T  140 54 .1179687E+11   8240000E+01 -.5564E+05 -.1104E+06   .9999988 -.0010097 -.0011823
T  141 54 .1170480E+11   8240000E+01  .1325E+06 -.2002E+06   .9999926 -.0008243 -.0037473
T  142 54 .1179944E+11   8240000E+01 -.1043E+06  .1998E+06   .9999456 -.0065804  .0080888
T  143 54 .1177759E+11   8240000E+01 -.1892E+05  .1289E+06   .9999718  .0074592  .0008922
T  144 54 .1171341E+11   8240000E+01  .4880E+05  .4405E+05   .9999846  .0047324 -.0029138
T  145 54 .1180543E+11   8240000E+01  .2068E+06  .5343E+05   .9999922  .0035876  .0016541
T  146 54 .1172605E+11   8240000E+01  .2568E+06  .4255E+05   .9999340  .0114553 -.0008335
T  147 54 .1172132E+11   8240000E+01 -.3472E+05 -.5814E+05   .9999928  .0027595 -.0026013
T  148 54 .1182104E+11   8240000E+01 -.2663E+06  .6731E+05   .9999440 -.0065721 -.0082968
T  149 54 .1183081E+11   8240000E+01 -.4889E+06 -.1441E+06   .9999494 -.0098165 -.0021824
T  150 54 .1176061E+11   8240000E+01 -.2047E+06  .1573E+05   .9999522 -.0097664  .0004757
T  151 54 .1176792E+11   8240000E+01  .3333E+06  .2002E+06   .9999771  .0061054  .0029023
T  152 54 .1177255E+11   8240000E+01 -.1443E+06  .1238E+06   .9999912 -.0040500  .0010767
T  153 54 .1174609E+11   8240000E+01 -.8384E+05  .9757E+04   .9999307 -.0049032 -.0107026
T  154 54 .1178987E+11   8240000E+01 -.2245E+05  .5049E+05   .9999982 -.0015110  .0011464
T  155 54 .1176776E+11   8240000E+01  .2496E+06  .8608E+04   .9999900  .0044357 -.0006247
T  156 54 .1184904E+11   8240000E+01 -.7517E+05  .5261E+05   .9999846 -.0049302  .0025390
T  157 54 .1178916E+11   8240000E+01  .1300E+06  .1980E+06   .9999925  .0031780  .0022210
T  158 54 .1177438E+11   8240000E+01 -.3111E+06  .4036E+06   .9998592 -.0072309  .0151420
T  159 54 .1179455E+11   8240000E+01  .1362E+06 -.8435E+05   .9999994  .0009878 -.0003591
T  160 54 .1175388E+11   8240000E+01  .2385E+06  .1700E+06   .9998567  .0124606  .0114632
T  161 54 .1175130E+11   8240000E+01 -.5214E+05  .5789E+05   .9999876 -.0035739  .0034586
T  162 54 .1175661E+11   8240000E+01 -.2580E+05  .5127E+05   .9999961  .0025497  .0011391
T  163 54 .1182342E+11   8240000E+01  .7643E+05  .1081E+06   .9999859  .0013709  .0051397
T  164 54 .1178613E+11   8240000E+01  .1853E+06  .1895E+06   .9999947  .0025567  .0020082
T  165 54 .1179461E+11   8240000E+01 -.1939E+06 -.8586E+05   .9999856 -.0025600 -.0047082
T  166 54 .1180549E+11   8240000E+01  .1900E+06 -.1732E+05   .9999887  .0047390 -.0003111
T  167 54 .1177999E+11   8240000E+01 -.9676E+05  .4399E+06   .9999455 -.0022858  .0101860
T  168 54 .1178093E+11   8240000E+01  .5239E+05  .1156E+06   .9999888  .0030383  .0036236
T  169 54 .1173509E+11   8240000E+01 -.1846E+06 -.6088E+05   .9999928 -.0035763 -.0012660
T  170 54 .1179870E+11   8240000E+01 -.1418E+06 -.6394E+05   .9999897 -.0044144 -.0010675
T  171 54 .1176125E+11   8240000E+01  .1053E+06  .1227E+06   .9999944  .0013815  .0030382
T  172 54 .1175748E+11   8240000E+01  .1576E+06 -.2889E+05   .9999956  .0010191 -.0027896
T  173 54 .1177189E+11   8240000E+01  .7936E+05 -.7975E+05   .9999992  .0011744 -.0003876
T  174 54 .1187343E+11   8240000E+01  .1449E+06  .1471E+05   .9999942  .0031684 -.0012514
T  175 54 .1176813E+11   8240000E+01  .1370E+06  .7823E+05   .9999887  .0037587  .0029041
T  176 54 .1181138E+11   8240000E+01 -.3491E+05  .1588E+06   .9999993  .0002069  .0011917
T  177 54 .1178151E+11   8240000E+01 -.1815E+06 -.1916E+06   .9999388 -.0057683 -.0094444
T  178 54 .1172207E+11   8240000E+01 -.1039E+06  .2419E+06   .9999988 -.0009894 -.0012191
T  179 54 .1183449E+11   8240000E+01  .2880E+06  .1109E+06   .9999849  .0038114  .0039629
T  180 54 .1181673E+11   8240000E+01 -.2572E+06  .4141E+04   .9999247 -.0115692  .0040902
T  181 54 .1175910E+11   8240000E+01  .2399E+06 -.1234E+06   .9999830  .0050130 -.0029816
T  182 54 .1184727E+11   8240000E+01 -.2874E+05 -.1159E+06   .9999986  .0014266 -.0008473
T  183 54 .1174723E+11   8240000E+01 -.2136E+06  .9395E+05   .9999950 -.0020817 -.0023950
T  184 54 .1178780E+11   8240000E+01 -.1511E+05 -.4530E+05   .9999934 -.0001560 -.0036338
T  185 54 .1172592E+11   8240000E+01 -.4324E+05  .9122E+05   .9999992 -.0011410 -.0005101
T  186 54 .1184835E+11   8240000E+01  .4195E+05 -.2902E+06   .9999779  .0018824 -.0063746
T  187 54 .1176912E+11   8240000E+01 -.2745E+06  .1989E+06   .9999420 -.0084662  .0066579
T  188 54 .1182985E+11   8240000E+01 -.2234E+06 -.2069E+06   .9999882 -.0043785 -.0021077
T  189 54 .1181528E+11   8240000E+01 -.2236E+06 -.1656E+06   .9999939 -.0018939 -.0029308
T  190 54 .1172249E+11   8240000E+01 -.1653E+05 -.8131E+05   .9999952  .0002038 -.0030868
T  191 54 .1181167E+11   8240000E+01  .2520E+06 -.6929E+05   .9999690  .0068031 -.0039640
T  192 54 .1181642E+11   8240000E+01 -.6582E+05  .1089E+06   .9999971 -.0023802 -.0004636
T  193 54 .1169185E+11   8240000E+01 -.3815E+05 -.1291E+06   .9999866  .0044181 -.0027069
T  194 54 .1184653E+11   8240000E+01  .1104E+06  .1769E+06   .9999955  .0014457  .0026308
T  195 54 .1172363E+11   8240000E+01 -.6467E+05 -.1947E+06   .9999876 -.0001350 -.0049778
T  196 54 .1180056E+11   8240000E+01 -.1514E+06 -.3019E+06   .9999432  .0016836 -.0105246
T  197 54 .1176674E+11   8240000E+01 -.2951E+06  .2788E+06   .9999551 -.0070374  .0063492
T  198 54 .1168473E+11   8240000E+01  .1491E+06  .3817E+06   .9999907  .0003107  .0043082
T  199 54 .1181558E+11   8240000E+01 -.4846E+05  .5099E+05   .9999753 -.0003055  .0070174
T  200 54 .1179743E+11   8240000E+01 -.5812E+05 -.1112E+06   .9999996  .0002941  .0008626
T  201 54 .1172564E+11   8240000E+01  .3859E+05  .2026E+06   .9999974  .0017605  .0014795
T  202 54 .1175324E+11   8240000E+01  .9810E+05  .1739E+05   .9999908  .0033386  .0026896
T  203 54 .1172604E+11   8240000E+01 -.7621E+05  .5768E+05   .9999991 -.0004624  .0012301
T  204 54 .1176066E+11   8240000E+01  .7314E+05  .2187E+05   .9999980  .0020113 -.0001105
T  205 54 .1180478E+11   8240000E+01  .7753E+05 -.5235E+05   .9999999 -.0003743  .0003229
T  206 54 .1185780E+11   8240000E+01  .9767E+05  .2969E+06   .9999773  .0028788  .0060854
T  207 54 .1172972E+11   8240000E+01  .2706E+06  .1009E+05   .9999692  .0058786  .0052059
T  208 54 .1186511E+11   8240000E+01  .1027E+05 -.3215E+05   .9999974 -.0015023  .0017255
T  209 54 .1177889E+11   8240000E+01 -.1001E+05  .3585E+05   .9999999 -.0000546  .0000263
T  210 54 .1181837E+11   8240000E+01  .1929E+06  .3726E+05   .9999981 -.0008222 -.0017402
T  211 54 .1174053E+11   8240000E+01  .2048E+06  .1504E+06   .9999859  .0045234  .0027983
T  212 54 .1185299E+11   8240000E+01 -.1492E+05 -.3318E+06   .9999755  .0028247 -.0064111
T  213 54 .1177891E+11   8240000E+01 -.1532E+06  .1470E+06   .9999684 -.0072819  .0031784
