 ,Area,Mean,Perim.,Circ.,Feret,IntDen,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
2586,321.354,255,82.906,0.588,25.352,81945.280,27795,8739,5038,118.301,20.604,1.057,0.946,0.869
2587,41.275,255,24.872,0.838,10.859,10525.082,3570,24947,5044,71.565,5.151,1.851,0.540,0.903
2588,79.601,255,32.156,0.967,12.500,20298.372,6885,34016,5038,105.945,8.585,1.315,0.761,0.885
2589,97.291,255,38.019,0.846,13.843,24809.122,8415,11849,5050,29.745,12.019,1.050,0.952,0.835
2590,185.737,255,124.430,0.151,41.352,47362.869,16065,7377,5062,41.634,10.927,3.870,0.258,0.527
2591,303.665,255,80.305,0.592,27.149,77434.531,26265,38324,5059,34.695,20.604,1.108,0.902,0.777
2592,132.669,255,48.738,0.702,19.197,33830.620,11475,3758,5049,100.305,10.302,1.886,0.530,0.841
2593,41.275,255,24.283,0.880,10.012,10525.082,3570,3841,5054,59.036,7.285,1.414,0.707,0.757
2594,235.856,255,63.724,0.730,21.719,60143.325,20400,7157,5061,18.435,17.698,1.101,0.908,0.825
2595,306.613,255,70.764,0.769,28.783,78186.323,26520,11307,5053,107.354,15.453,1.635,0.611,0.878
2596,91.394,255,34.168,0.984,13.410,23305.538,7905,4861,5055,140.194,10.302,1.127,0.887,0.925
2597,250.597,255,64.313,0.761,22.321,63902.283,21675,22754,5062,157.380,18.887,1.035,0.966,0.825
2598,235.856,255,56.612,0.925,20.676,60143.325,20400,14992,5071,48.366,17.170,1.072,0.933,0.904
2599,41.275,255,21.854,1.000,9.247,10525.082,3570,19186,5064,21.801,6.868,1.164,0.859,0.824
2600,173.944,255,49.743,0.883,18.252,44355.702,15045,8117,5065,131.186,15.110,1.201,0.833,0.874
2601,41.275,255,23.866,0.911,10.859,10525.082,3570,2331,5068,18.435,5.151,1.851,0.540,0.903
2602,421.593,255,97.475,0.558,29.341,107506.194,36465,21235,5078,20.556,24.038,1.102,0.908,0.779
2603,85.498,255,34.585,0.898,14.770,21801.955,7395,21793,5070,144.462,9.774,1.592,0.628,0.853
2604,109.083,255,39.441,0.881,16.198,27816.288,9435,18093,5071,122.005,11.449,1.382,0.723,0.831
2605,156.255,255,54.600,0.659,19.577,39844.953,13515,9805,5079,127.875,16.125,1.157,0.864,0.763
2606,212.271,255,230.326,0.050,111.620,54128.993,18360,18007,5079,90.881,3.434,48.137,0.021,0.686
2607,47.171,255,26.294,0.857,10.444,12028.665,4080,3601,5080,99.462,6.868,1.291,0.775,0.821
2608,185.737,255,69.169,0.488,24.584,47362.869,16065,24389,5087,12.095,18.887,1.305,0.766,0.529
