stack,plate,plate_num,depth_mm,class,count,frac,log10_area_mean,log10_area_std,area_mean_um2
Stack_03,Plate_04_p1,4,6.21,1,737993,0.7038096682240272,1.8505206583514655,0.05512216885039818,70.87950213359628
Stack_03,Plate_04_p1,4,6.21,2,258331,0.24636528449725292,2.2553478251105847,0.2007633815793224,180.03122023786955
Stack_03,Plate_05_p1,5,8.27,0,70588,0.08558766649085475,1.563364593167153,0.33886708301442586,36.590183979017375
Stack_03,Plate_05_p1,5,8.27,1,473630,0.5742744727158091,2.0851835260561606,0.060357748353898955,121.6700050437471
Stack_03,Plate_05_p1,5,8.27,2,280527,0.34013786079333613,2.514173894062467,0.23029106022828771,326.7186260429365
Stack_03,Plate_06_p1,6,10.33,0,867471,0.9480464126582362,2.0588441785372056,0.2582757678909025,114.5102014086205
Stack_03,Plate_06_p1,6,10.33,1,0,0.0,2.2964193651938842,0.24441941109280121,197.88795715199672
Stack_03,Plate_06_p1,6,10.33,2,47538,0.05195358734176385,2.6762445067379814,0.16506565429165282,474.5090575190061
Stack_03,Plate_07_p1,7,12.39,0,22120,0.368580664511614,1.1563300697888956,0.11393888194929043,14.332767955418479
Stack_03,Plate_07_p1,7,12.39,1,18785,0.3130102975972273,1.5091267136452111,0.13758800828473186,32.29436233487157
Stack_03,Plate_07_p1,7,12.39,2,19109,0.3184090378911587,1.8592381927771635,0.16295291087221603,72.31663220327329
Stack_03,Plate_08_p1,8,14.45,0,20574,0.3618870048547105,1.1483612569319679,0.10827130715079954,14.072175959473544
Stack_03,Plate_08_p1,8,14.45,1,18129,0.31888060226553155,1.4834438745903804,0.1374561921940658,30.43994578432781
Stack_03,Plate_08_p1,8,14.45,2,18149,0.31923239287975796,1.808342699946796,0.17069336703563098,64.31950596328248
Stack_03,Plate_09_p1,9,16.51,0,14578,0.4226487301403224,1.1044102085072367,0.0828865848822307,12.717747802194936
Stack_03,Plate_09_p1,9,16.51,1,14893,0.43178128261625887,1.4203261800817357,0.16946702384432555,26.3224421615449
Stack_03,Plate_09_p1,9,16.51,2,5021,0.14556998724341877,1.6356259064211527,0.29368911426527083,43.21414316894264
Stack_03,Plate_10_p1,10,18.57,0,11838,0.4542419707609071,1.1307398669024928,0.1005603330699871,13.51262943170135
Stack_03,Plate_10_p1,10,18.57,1,12774,0.4901577069183838,1.5063413134430086,0.1875960110761614,32.08790132400663
Stack_03,Plate_10_p1,10,18.57,2,1449,0.055600322320709106,1.7599351953742168,0.3712547314701571,57.53540776515472
