depth_mm,dedx_MeVmm
5.400000,2935.5112
5.405000,2936.7951
5.410000,2938.0809
5.415000,2939.3687
5.420000,2940.6586
5.425000,2941.9505
5.430000,2943.2444
5.435000,2944.5404
5.440000,2945.8384
5.445000,2947.1385
5.450000,2948.4406
5.455000,2949.7448
5.460000,2951.0511
5.465000,2952.3594
5.470000,2953.6698
5.475000,2954.9823
5.480000,2956.2969
5.485000,2957.6135
5.490000,2958.9323
5.495000,2960.2532
5.500000,2961.5762
5.505000,2962.9013
5.510000,2964.2286
5.515000,2965.5579
5.520000,2966.8894
5.525000,2968.2231
5.530000,2969.5589
5.535000,2970.8968
5.540000,2972.2370
5.545000,2973.5792
5.550000,2974.9237
5.555000,2976.2703
5.560000,2977.6191
5.565000,2978.9702
5.570000,2980.3234
5.575000,2981.6788
5.580000,2983.0364
5.585000,2984.3962
5.590000,2985.7583
5.595000,2987.1225
5.600000,2988.4891
5.605000,2989.8578
5.610000,2991.2288
5.615000,2992.6021
5.620000,2993.9776
5.625000,2995.3554
5.630000,2996.7354
5.635000,2998.1178
5.640000,2999.5024
5.645000,3000.8893
5.650000,3002.2785
5.655000,3003.6700
5.660000,3005.0638
5.665000,3006.4600
5.670000,3007.8584
5.675000,3009.2592
5.680000,3010.6624
5.685000,3012.0678
5.690000,3013.4757
5.695000,3014.8859
5.700000,3016.2984
5.705000,3017.7134
5.710000,3019.1307
5.715000,3020.5504
5.720000,3021.9724
5.725000,3023.3969
5.730000,3024.8238
5.735000,3026.2531
5.740000,3027.6848
5.745000,3029.1190
5.750000,3030.5556
5.755000,3031.9946
5.760000,3033.4361
5.765000,3034.8800
5.770000,3036.3264
5.775000,3037.7753
5.780000,3039.2266
5.785000,3040.6805
5.790000,3042.1368
5.795000,3043.5956
5.800000,3045.0570
5.805000,3046.5208
5.810000,3047.9872
5.815000,3049.4561
5.820000,3050.9275
5.825000,3052.4015
5.830000,3053.8780
5.835000,3055.3571
5.840000,3056.8388
5.845000,3058.3230
5.850000,3059.8098
5.855000,3061.2992
5.860000,3062.7912
5.865000,3064.2858
5.870000,3065.7831
5.875000,3067.2829
5.880000,3068.7854
5.885000,3070.2905
5.890000,3071.7983
5.895000,3073.3087
5.900000,3074.8218
5.905000,3076.3375
5.910000,3077.8560
5.915000,3079.3771
5.920000,3080.9009
5.925000,3082.4274
5.930000,3083.9566
5.935000,3085.4886
5.940000,3087.0232
5.945000,3088.5606
5.950000,3090.1008
5.955000,3091.6437
5.960000,3093.1893
5.965000,3094.7378
5.970000,3096.2890
5.975000,3097.8430
5.980000,3099.3998
5.985000,3100.9594
5.990000,3102.5218
5.995000,3104.0870
6.000000,3105.6551
6.005000,3107.2260
6.010000,3108.7997
6.015000,3110.3763
6.020000,3111.9558
6.025000,3113.5381
6.030000,3115.1234
6.035000,3116.7115
6.040000,3118.3025
6.045000,3119.8965
6.050000,3121.4933
6.055000,3123.0931
6.060000,3124.6958
6.065000,3126.3015
6.070000,3127.9101
6.075000,3129.5217
6.080000,3131.1363
6.085000,3132.7539
6.090000,3134.3744
6.095000,3135.9980
6.100000,3137.6246
6.105000,3139.2542
6.110000,3140.8868
6.115000,3142.5225
6.120000,3144.1612
6.125000,3145.8030
6.130000,3147.4479
6.135000,3149.0958
6.140000,3150.7469
6.145000,3152.4010
6.150000,3154.0583
6.155000,3155.7186
6.160000,3157.3822
6.165000,3159.0488
6.170000,3160.7186
6.175000,3162.3916
6.180000,3164.0677
6.185000,3944.9465
6.190000,3947.4859
6.195000,3950.0312
6.200000,3952.5825
6.205000,3955.1397
6.210000,3957.7029
6.215000,3960.2722
6.220000,3962.8476
6.225000,3965.4290
6.230000,3968.0165
6.235000,3970.6102
6.240000,3973.2100
6.245000,3191.2406
6.250000,3192.9722
6.255000,3194.7071
6.260000,3196.4454
6.265000,3198.1872
6.270000,3199.9323
6.275000,3201.6808
6.280000,3203.4327
6.285000,3205.1881
6.290000,3206.9469
6.295000,3208.7092
6.300000,3210.4750
6.305000,3212.2442
6.310000,3214.0170
6.315000,3215.7932
6.320000,3217.5730
6.325000,3219.3563
6.330000,3221.1432
